"","Date","Year-to-date Burned Area (ha)"
"1008","2022-07-02",194396
"1009","2022-07-01",166238
"1010","2022-06-30",155515
"1011","2022-06-29",143579
"1012","2022-06-28",131041
"1013","2022-06-27",126960
"1014","2022-06-26",121225
"1015","2022-06-25",117623
"1016","2022-06-24",105488
"1017","2022-06-23",89321
"1018","2022-06-22",85295
"1019","2022-06-21",82066
"1020","2022-06-20",79592
"1021","2022-06-19",77053
"1022","2022-06-18",74325
"1023","2022-06-17",74106
"1024","2022-06-16",68739
"1025","2022-06-15",59264
"1026","2022-06-14",49574
"1027","2022-06-13",42887
"1028","2022-06-12",41201
"1029","2022-06-11",39536
"1030","2022-06-10",39536
"1031","2022-06-09",36037
"1032","2022-06-08",29646
"1033","2022-06-07",27474
"1034","2022-06-06",19686
"1035","2022-06-05",18031
